pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
-0.030066,-0.027416,-0.1715,-5.5758,0.10333,-5.9079,0.048244,-0.089874
-0.034181,-0.027967,-0.2058,-5.5754,0.10605,-5.9096,-0.012825,-0.051365
-0.023206,-0.02395,0.54879,-5.6018,0.12705,-5.9106,-0.2113,-0.013199
-0.030066,-0.023775,-0.34299,-5.6116,0.13004,-5.9107,-0.058626,0.015336
-0.02252,-0.020651,0.37729,-5.5985,0.14462,-5.9103,-0.043359,0.025963
-0.026636,-0.020069,-0.2058,-5.569,0.14713,-5.9097,0.094045,0.017416
-0.019776,-0.01698,0.34299,-5.5957,0.15958,-5.9093,0.032977,0.023523
-0.016346,-0.013518,0.1715,-5.6906,0.17231,-5.9087,-0.028092,0.070143
-0.0094859,-0.008467,0.34299,-5.6574,0.18994,-5.9073,-0.043359,0.080166
-0.016346,-0.0077294,-0.34299,-5.6511,0.188,-5.9056,-0.13496,0.079596
-0.013602,-0.0062476,0.1372,-5.6794,0.18936,-5.9039,0.078778,0.088604
-0.0094859,-0.0037064,0.2058,-5.6772,0.19487,-5.9021,0.12458,0.088951
-0.0067419,-0.00097638,0.1372,-5.6817,0.2005,-5.9002,-0.10443,0.087004
-0.002626,0.0024166,0.2058,-5.6083,0.20801,-5.8984,0.13985,0.047508
0.00080396,0.0059777,0.1715,-5.5707,0.21523,-5.8974,-0.18076,0.0032666
0.0042339,0.009624,0.1715,-5.6495,0.22215,-5.8972,-0.043359,0.012246
0.013152,0.015471,0.44589,-5.6755,0.23726,-5.8969,0.15511,0.029158
0.012466,0.019063,-0.034299,-5.6527,0.2414,-5.8963,-0.62351,0.027488
0.016582,0.02294,0.2058,-5.6844,0.24629,-5.8956,-1.0663,0.039811
0.026872,0.02941,0.51449,-5.8531,0.26153,-5.8948,0.39939,16.216
0.026186,0.033381,-0.034299,-5.857,0.26486,-5.5705,1.3765,25.469
0.035789,0.039606,0.48019,-5.733,0.27644,-5.0612,13.773,29.963
0.033045,0.042555,-0.1372,-5.1529,0.27168,-4.462,26.674,31.1
0.041963,0.047761,0.44589,-4.4189,0.27454,-3.8399,40.522,30.039
0.049509,0.053963,0.37729,-3.5824,0.27874,-3.2391,50.323,27.622
0.054997,0.060011,0.2744,-2.5545,0.27905,-2.6864,62.018,24.389
0.062543,0.06671,0.37729,-1.4238,0.27897,-2.1983,60.384,20.75
0.071461,0.074308,0.44589,-0.62897,0.28037,-1.7828,38.094,17.184
0.076949,0.081097,0.2744,-0.31553,0.27732,-1.4387,1.865,14.049
0.077635,0.085351,0.034299,-0.79964,0.26521,-1.1575,-17.204,11.695
0.083123,0.089808,0.27439,-0.8978,0.25536,-0.92353,-3.8296,9.7517
0.082437,0.092031,-0.034299,-0.88873,0.2374,-0.72849,0.20092,8.1015
0.09204,0.096785,0.48019,-0.70452,0.23125,-0.56645,6.7047,6.6262
0.09204,0.099544,0,-0.63948,0.21745,-0.43395,5.6055,5.3819
0.10096,0.10443,0.44589,-0.61711,0.21374,-0.32636,3.575,4.3571
0.10096,0.10732,0,-0.52816,0.2021,-0.23928,0.52153,3.4837
0.10988,0.11234,0.44589,-0.49566,0.20029,-0.16969,-1.4937,2.77
0.11811,0.11857,0.41159,-0.57121,0.20373,-0.1144,-0.45557,2.238
0.11262,0.12026,-0.2744,-0.58769,0.18838,-0.069787,-0.79145,1.8151
0.12908,0.12743,0.82319,-0.60347,0.19704,-0.033644,-1.6311,1.4785
0.1236,0.12983,-0.27439,-0.48832,0.18501,-0.0042102,0.73527,1.1499
0.12634,0.13212,0.1372,-0.4214,0.17379,0.018662,0.72,0.86354
0.12977,0.13462,0.1715,-0.48619,0.16488,0.035781,-0.69985,0.67763
0.13732,0.13892,0.37729,-0.54196,0.16438,0.049161,-0.76092,0.55814
0.14075,0.14287,0.1715,-0.49595,0.16242,0.060161,-0.44031,0.43781
0.138,0.14416,-0.1372,-0.44437,0.14978,0.068764,-0.45557,0.31986
0.14623,0.14792,0.41159,-0.39802,0.14851,0.075022,-0.47084,0.21114
0.14349,0.14911,-0.1372,-0.3922,0.13693,0.079104,-0.57771,0.13196
0.13869,0.14772,-0.2401,-0.38076,0.1162,0.081603,0.26198,0.072034
0.14829,0.15022,0.48019,-0.33642,0.11359,0.082918,0.094045,0.011385
0.15104,0.15278,0.1372,-0.29607,0.11138,0.083032,0.21618,-0.045097
0.14898,0.15347,-0.1029,-0.32266,0.10196,0.082008,0.42992,-0.065279
0.15104,0.15451,0.1029,-0.35848,0.095099,0.08057,-0.10443,-0.057809
0.15721,0.15743,0.3087,-0.36616,0.096665,0.07928,0.33832,-0.046687
0.15858,0.15977,0.068599,-0.39349,0.095778,0.078205,-0.83725,-0.024651
0.15584,0.1601,-0.1372,-0.37565,0.086804,0.077575,-0.86779,-0.017884
0.16201,0.16254,0.30869,-0.37006,0.08743,0.077083,0.048244,-0.015189
0.15927,0.16296,-0.1372,-0.38732,0.079818,0.076639,-0.37924,-0.0044811
0.16407,0.16494,0.24009,-0.41083,0.079487,0.076404,-0.3487,0.013595
0.16133,0.16507,-0.1372,-0.41466,0.071656,0.076528,-0.13496,0.026263
0.16681,0.16714,0.2744,-0.40243,0.072609,0.07691,0.032977,0.027521
0.1723,0.17056,0.2744,-0.394,0.078949,0.07732,-0.2113,0.023438
0.16407,0.16955,-0.41159,-0.39304,0.066515,0.077646,-0.18076,0.019743
0.16476,0.16895,0.034299,-0.40384,0.057239,0.077896,-0.24183,0.021906
0.16407,0.16814,-0.034299,-0.40798,0.048154,0.078187,0.048244,0.024503
0.16476,0.16773,0.034299,-0.39993,0.041763,0.078533,-0.10443,0.021573
0.16476,0.16735,0,-0.40102,0.036249,0.07882,-0.028092,0.01961
