ref,pos_o,vel_o,ang_o,vel_ang_o
0,0.00032339,-0.0014555,0.085877,-0.3123
0,0.0004793,-0.00083556,0.079621,-0.18785
0,0.00058708,-0.00047726,0.075856,0.0073341
0,0.00039104,-0.0013829,0.075995,0.19457
0,0.00025396,-0.0019505,0.079879,0.15105
0,0.00015921,-0.0022913,0.082892,0.019673
0,9.3771e-05,-0.0024596,0.083275,-0.11713
0,4.9474e-05,-0.0024976,0.080919,-0.22111
0,0.00029089,-0.0013721,0.076484,-0.28523
0,0.00019217,-0.0017615,0.070769,-0.12636
0,0.00039341,-0.00087761,0.068232,-0.08535
0,0.00053415,-0.00034981,0.066517,0.088091
0,0.00063054,-6.3627e-05,0.068272,0.28006
0,0.00069464,5.8586e-05,0.073866,0.43489
0,0.00046647,-0.0010176,0.082553,0.53272
0,0.00030526,-0.0017019,0.093194,0.38787
0,0.00019215,-0.0021114,0.10093,0.16404
0,0.00038325,-0.001246,0.1042,-0.054086
0,0.00024738,-0.0018034,0.10309,-0.040564
0,0.00042245,-0.0010325,0.10226,-0.12106
0,0.00027522,-0.0016491,0.099818,-0.032739
0,0.0004423,-0.00091478,0.099142,-0.077226
0,0.00028982,-0.0015609,0.097577,0.022391
0,0.00018419,-0.0019376,0.098003,-0.023078
0,0.00011249,-0.002136,0.09752,-0.11527
0,6.4868e-05,-0.002211,0.095194,-0.20165
0,0.00030307,-0.0011074,0.091139,-0.25881
0,0.00047014,-0.0004116,0.085942,-0.097978
0,0.00085515,0.0010873,0.083964,0.12218
0,0.00058206,-0.00026098,0.086389,0.50495
0,0.0003884,-0.0011236,0.096468,0.49702
0,0.00025212,-0.0016544,0.10639,0.32185
0,0.00042608,-0.00086366,0.11279,0.10598
0,0.00054704,-0.00038401,0.11488,0.096369
0,0.00063043,-0.00012435,0.11678,0.16523
0,0.00068666,-1.8064e-05,0.12006,0.24486
0,0.00072259,-7.2374e-06,0.12493,0.30579
0,0.00047582,-0.0011586,0.13101,0.33405
-0.1,0.0003021,-0.0018835,0.13766,0.14843
-0.1,0.00018082,-0.0023055,0.1406,0.35134
-0.1,9.7694e-05,-0.002511,0.14759,0.81914
-0.1,4.256e-05,-0.0025892,0.16393,1.4417
-0.1,0.0002799,-0.0016044,0.19274,2.1106
-0.1,0.00072393,-0.00023999,0.23496,2.9074
-0.1,0.00049746,-0.0021995,0.29315,3.8062
-0.1,0.00033262,-0.0041343,0.36936,4.1907
-0.1,0.00020181,-0.0061226,0.45328,4.2671
-0.1,9.5583e-05,-0.0083337,0.53877,4.1298
-0.1,-9.1791e-06,-0.010632,0.62152,3.8994
-0.1,-0.00012575,-0.012801,0.69965,3.6729
-0.1,-0.00024572,-0.014835,0.77323,3.4695
-0.1,-0.00036123,-0.016792,0.84274,3.2901
-0.1,-0.00047494,-0.018623,0.90864,3.1591
-0.1,-0.00058333,-0.020358,0.97192,3.0722
-0.1,-0.00042134,-0.02084,1.0334,3.0462
-0.1,-0.00033477,-0.021705,1.0944,3.2404
-0.1,-0.00029654,-0.022914,1.1593,3.4723
-0.1,-0.00028805,-0.024516,1.2289,3.6316
-0.1,-0.00030982,-0.02638,1.3016,3.7077
-0.1,-0.00035889,-0.028391,1.3759,3.7097
-0.1,-0.00042383,-0.030573,1.4502,3.6269
-0.1,-0.00076999,-0.034,1.5229,3.4745
-0.1,-0.0010506,-0.036945,1.5926,3.123
-0.1,-0.0012865,-0.039429,1.6552,2.7638
-0.1,-0.0014886,-0.041466,1.7106,2.4966
-0.1,-0.0016578,-0.043174,1.7606,2.3418
-0.1,-0.0015296,-0.043546,1.8075,2.2997
-0.1,0.0022992,-0.028884,1.8536,2.5496
-0.1,0.0024985,-0.030716,1.9046,5.4822
-0.1,0.0025868,-0.033026,2.0143,7.1643
-0.1,0.0026047,-0.03592,2.1577,7.8391
-0.1,0.0028524,-0.038573,2.3147,7.6935
-0.1,0.0024561,-0.045013,2.4689,7.0644
-0.1,0.0026425,-0.049229,2.6105,5.7548
-0.1,0.0023872,-0.054815,2.7259,4.6727
-0.1,0.0034345,-0.054129,2.8196,3.6201
-0.1,6.8348e-05,-0.072062,2.8923,3.4461
-0.1,-0.00098809,-0.078881,2.9615,0.79081
-0.1,-0.00073068,-0.078887,2.9775,-1.2413
-0.1,0.00099593,-0.071997,2.9527,-1.6798
-0.1,-0.00078629,-0.079764,2.9191,-0.14672
-0.1,-0.00040815,-0.077867,2.9162,-0.03912
-0.1,-0.0030941,-0.088682,2.9154,0.74855
-0.1,-0.0073591,-0.10474,2.9305,-0.23112
-0.1,-0.012961,-0.12443,2.9259,-3.182
-0.1,-0.014084,-0.1234,2.8622,-7.8172
-0.1,-0.017478,-0.1305,2.7058,-9.6826
-0.1,-0.021076,-0.13603,2.5119,-11.139
-0.1,-0.026063,-0.14599,2.2888,-12.377
-0.1,-0.030668,-0.15188,2.0409,-14.089
-0.1,-0.035219,-0.15568,1.7587,-15.53
-0.1,-0.035388,-0.1401,1.4477,-16.522
-0.1,-0.036268,-0.12796,1.1168,-14.034
-0.1,-0.038169,-0.12049,0.83561,-10.233
-0.1,-0.041554,-0.12,0.63059,-6.846
-0.1,-0.044911,-0.11968,0.49342,-5.0743
-0.1,-0.049596,-0.12523,0.3918,-4.4608
-0.1,-0.055236,-0.13391,0.30247,-5.4399
-0.1,-0.056413,-0.12338,0.19359,-7.9176
-0.1,-0.058012,-0.11502,0.035093,-7.8651
-0.1,-0.060202,-0.10862,-0.12247,-6.5037
-0.1,-0.064097,-0.10934,-0.25282,-4.9871
-0.1,-0.063771,-0.092935,-0.35277,-4.8028
-0.1,-0.065912,-0.088617,-0.44898,-2.5815
-0.1,-0.069796,-0.092046,-0.5007,-1.1668
-0.1,-0.069773,-0.079862,-0.52402,-1.6918
-0.1,-0.071917,-0.078231,-0.55779,-0.65922
-0.1,-0.075598,-0.083139,-0.57088,-0.35942
-0.1,-0.076854,-0.077714,-0.57796,-1.6019
-0.1,-0.078579,-0.074942,-0.60987,-2.0116
-0.1,-0.078774,-0.065997,-0.65,-2.2074
-0.1,-0.08114,-0.066634,-0.69406,-1.2326
-0.1,-0.084739,-0.072134,-0.71862,-1.2148
-0.1,-0.085954,-0.067429,-0.7428,-2.6485
-0.1,-0.089019,-0.070693,-0.79566,-3.1581
-0.1,-0.093647,-0.079509,-0.85874,-4.3229
-0.1,-0.094262,-0.06984,-0.94524,-6.6573
-0.1,-0.092864,-0.052065,-1.0785,-6.63
-0.1,-0.094341,-0.047762,-1.2113,-3.9817
-0.1,-0.093775,-0.036049,-1.2909,-2.1932
-0.1,-0.097204,-0.04222,-1.3348,0.2787
