ref,pos_o,vel_o,ang_o,vel_ang_o
0,0.00041649,-0.00067701,0.053483,-0.042233
0,0.00028549,-0.0012789,0.052637,0.11033
0,0.00019395,-0.0016523,0.054843,0.10004
0,0.00039932,-0.00077744,0.056842,0.025614
0,0.00027258,-0.0013499,0.057351,0.12473
0,0.00018341,-0.0016902,0.059841,0.088304
0,0.00039091,-0.00078872,0.061602,0.0024526
0,0.00053546,-0.00026014,0.061646,0.096283
0,0.00036527,-0.001073,0.063567,0.24066
0,0.00024507,-0.0015842,0.068375,0.18671
0,0.00016115,-0.0018896,0.072102,0.058977
0,0.00010332,-0.0020491,0.073272,-0.073634
0,0.0003331,-0.0010114,0.071788,-0.17776
0,0.00022513,-0.0014677,0.068223,-0.061475
0,0.0001512,-0.0017422,0.066986,-0.063306
0,0.00010057,-0.0018822,0.065711,-0.10555
0,0.00033536,-0.00083461,0.063591,-0.14896
0,0.00023056,-0.0012861,0.060603,0.0049813
0,0.00042668,-0.00045723,0.060694,0.025871
0,0.00029393,-0.0010639,0.061203,0.17395
0,0.00046982,-0.00034823,0.064674,0.15585
0,0.00032208,-0.0010342,0.067783,0.25519
0,0.00021861,-0.0014724,0.072878,0.18846
0,0.00014676,-0.0017429,0.076638,0.062497
0,0.00036574,-0.00079699,0.077877,-0.062595
0,0.00024863,-0.0013188,0.076613,0.023401
0,0.00016662,-0.0016258,0.077067,-0.0068533
0,0.00011058,-0.0017926,0.076917,-0.077119
0,7.2517e-05,-0.0018517,0.075359,-0.14276
0,0.00031684,-0.00075014,0.072489,-0.18753
0,0.00021877,-0.0011597,0.068722,-0.02282
0,0.00015144,-0.0013973,0.068252,0.011006
0,0.00010613,-0.0015254,0.068459,-0.012438
0,7.57e-05,-0.0015718,0.068197,-0.049297
0,5.6198e-05,-0.0015661,0.067197,-0.080558
0,0.00031298,-0.00043084,0.065571,-0.097089
0,0.00049245,0.00024997,0.063617,0.082192
0,0.00034718,-0.00047784,0.06525,0.30158
0,0.00024408,-0.00095032,0.07127,0.303
0,0.00017187,-0.0012591,0.077319,0.20626
0,0.00012093,-0.0014445,0.08143,0.08488
0,0.00035457,-0.00045503,0.083113,-0.026108
0,0.00024777,-0.00096973,0.082575,0.071523
0,0.00017289,-0.0013018,0.083992,0.045006
0,0.00012035,-0.0015007,0.084877,-0.025818
0,8.3702e-05,-0.0015981,0.084344,-0.097533
0,5.9943e-05,-0.0016413,0.082377,-0.15553
0,4.4801e-05,-0.0016426,0.079251,-0.1903
0,3.5694e-05,-0.0016128,0.075431,-0.20142
0,3.0768e-05,-0.0015584,0.071388,-0.19198
0,0.00029816,-0.00040489,0.067535,-0.16956
0,0.00048461,0.00028016,0.064133,0.043303
0,0.00034349,-0.00044661,0.06499,0.28965
0,0.00051195,0.00016385,0.070774,0.30859
0,0.00062647,0.00047046,0.076936,0.40605
0,0.00070165,0.00057722,0.085046,0.50188
0,0.00047951,-0.00053145,0.095068,0.56188
0,0.00058995,-0.00016687,0.10629,0.39089
0,0.0006639,-1.4814e-05,0.11409,0.32708
0,0.00071169,-4.7638e-06,0.12061,0.30218
0,0.00047107,-0.0011605,0.12663,0.28633
0,0.0003008,-0.0018958,0.13233,0.079643
0,0.00045088,-0.0012522,0.13389,-0.16966
0,0.00028633,-0.0019672,0.13047,-0.20223
0,0.00044062,-0.001292,0.1264,-0.32049
0,0.00027943,-0.0019692,0.11996,-0.25734
0,0.00016788,-0.0023477,0.11479,-0.30862
0,0.00036224,-0.0014479,0.10859,-0.38806
0,0.0002295,-0.001958,0.10081,-0.26116
0,0.00040795,-0.0011363,0.095563,-0.25176
0,0.00053376,-0.00062737,0.090508,-0.097799
0,0.00062108,-0.0003332,0.088534,0.08898
0,0.00041109,-0.0012694,0.090295,0.25375
0,0.00026441,-0.0018396,0.095351,0.18729
0,0.0001632,-0.0021601,0.099075,0.038739
0,9.4585e-05,-0.0023074,0.099827,-0.11163
0,0.00031859,-0.0012497,0.097571,-0.22807
0,0.00020792,-0.0016833,0.092989,-0.11713
0,0.0001325,-0.0019227,0.090626,-0.11505
0,0.00035129,-0.0009482,0.088308,-0.15193
0,0.00023532,-0.0014447,0.085253,-0.0054037
0,0.00042377,-0.00064183,0.085128,0.0041448
0,0.0005549,-0.00017503,0.085196,0.14093
0,0.00037538,-0.0010277,0.088,0.29808
0,0.00024873,-0.0015654,0.093946,0.24094
0,0.0001597,-0.0018769,0.098745,0.10569
0,9.8675e-05,-0.0020381,0.10084,-0.037433
0,0.00032741,-0.0010175,0.10007,-0.15626
0,0.00021802,-0.0014825,0.096923,-0.050587
0,0.00014273,-0.0017579,0.095891,-0.059438
0,0.00036054,-0.00081622,0.094685,-0.10926
0,0.00051166,-0.0002469,0.092481,0.024545
0,0.000346,-0.0010187,0.092952,0.20618
0,0.00049915,-0.0004212,0.097058,0.17831
0,0.00060427,-0.00010103,0.10061,0.25083
0,0.0004052,-0.0010488,0.1056,0.34234
0,0.00053357,-0.00056379,0.11243,0.22655
0,0.00035148,-0.0013906,0.11694,0.22886
0,0.00022386,-0.001906,0.12149,0.083527
0,0.00013572,-0.0022099,0.12313,-0.096391
0,7.5633e-05,-0.0023604,0.12118,-0.25114
0,3.6391e-05,-0.0024099,0.11613,-0.35898
0,0.00028108,-0.0013039,0.10893,-0.41625
0,0.0001844,-0.0017172,0.10058,-0.24573
0,0.00038663,-0.0008559,0.095649,-0.19087
0,0.00025835,-0.001428,0.091814,-0.0006184
0,0.00016895,-0.0017657,0.091784,0.025108
0,0.0003766,-0.00085812,0.092269,-0.018557
0,0.00052064,-0.00030665,0.091879,0.10669
0,0.00035056,-0.0010944,0.093994,0.27176
-0.1,0.00049996,-0.00049608,0.099411,0.2292
-0.1,0.00060095,-0.00013766,0.10397,0.73786
-0.1,0.00040072,-0.0010562,0.1187,1.4995
-0.1,0.00026058,-0.0016685,0.14867,2.1453
-0.1,0.00016069,-0.0020806,0.19154,2.7263
